"","metal","mean_conc","sd_conc","n","CI","lower_ci","upper_ci","site"
"1","As75",3244.50590504918,1335.14479636508,22,557.911249027557,2686.59465602163,3802.41715407674,"NA"
"2","Cd111",131.068641029187,40.3979259354076,22,16.8809086311138,114.187732398073,147.949549660301,"NA"
"3","Cd114",230.349200165841,116.639699925418,22,48.7397328355352,181.609467330305,279.088933001376,"NA"
"4","Cr52",21004.5337557049,12140.6464107076,22,5073.1600208759,15931.373734829,26077.6937765808,"NA"
"5","Cr53",21575.2867877525,12516.8976401872,22,5230.38251386587,16344.9042738867,26805.6693016184,"NA"
"6","Pb208",269535.292693035,222762.772744819,22,93084.9276552324,176450.365037803,362620.220348268,"NA"
"7","As75",13945.4190396564,2633.020049912,12,1489.74396300847,12455.675076648,15435.1630026649,"QC"
"8","Cd111",2378.70525969571,426.755231932942,12,241.455066198842,2137.25019349687,2620.16032589455,"QC"
"9","Cd114",2555.01564852134,482.713983408567,12,273.116128632108,2281.89951988923,2828.13177715345,"QC"
"10","Cr52",57831.133356473,11280.5858317615,12,6382.47499962157,51448.6583568515,64213.6083560946,"QC"
"11","Cr53",59315.0091953751,11585.506547123,12,6554.99696538522,52760.0122299899,65870.0061607603,"QC"
"12","Pb208",1191817.5805414,252957.784854526,12,143121.710332446,1048695.87020895,1334939.29087385,"QC"
